Header_시,Header_구,Header_동,Header_Timestamp,Header_단지명,Header_평형,target,Static__준공구분,Static__세대수구분,Static__평수구분,Static__건설사등급,Static__초품아여부,Static__역세권수,Static__호재수,depth1__ecos__base_rate,depth1__ecos__cd_91d_rate,depth1__ecos__cpi_housing,depth1__ecos__m2_avg,depth1__ecos__mortgage_rate_new,depth1__ecos__unemployment_rate,depth2__reb__apt_sale_supply_demand,depth2__reb__apt_jeonse_supply_demand,depth2__reb__apt_monthly_rent_supply_demand,depth3__reb__apt_sale_index,depth3__reb__apt_jeonse_index,depth3__policy__ltv_tightness,depth3__policy__dsr_severity,depth3__policy__is_speculative,depth3__policy__is_overheated,depth3__policy__is_regulated
서울특별시,서초구,서초동,2026-05-01,래미안리더스원,84.93,382500.0,준신축,대단지,중형,대형,초품아,4,1,2.5,2.82,118.53,4143515.8,4.31,2.9,,,,101.866063,101.841535,1,1,1,1,1
서울특별시,서초구,서초동,2026-04-01,래미안리더스원,84.93,382500.0,준신축,대단지,중형,대형,초품아,4,1,2.5,2.82,118.24,4143515.8,4.31,2.9,100.122249388753,109.250203748981,107.864710676447,101.555318,101.572481,1,1,1,1,1
서울특별시,서초구,서초동,2026-03-01,래미안리더스원,84.93,382500.0,준신축,대단지,중형,대형,초품아,4,1,2.5,2.82,118.05,4143515.8,4.34,3.0,97.1475142624287,101.507742461288,103.382233088835,101.346555,100.907483,1,1,1,1,1
서울특별시,서초구,서초동,2026-02-01,래미안리더스원,84.93,382500.0,준신축,대단지,중형,대형,초품아,4,1,2.5,2.78,117.83,4111822.7,4.32,3.4,101.018744906275,100.81499592502,102.81173594132,100.926695,100.440152,1,1,1,1,1
서울특별시,서초구,서초동,2026-01-01,래미안리더스원,84.93,382500.0,준신축,대단지,중형,대형,초품아,4,1,2.5,2.7,117.36,4105513.1,4.29,4.1,103.463732681337,102.118989405053,103.422982885086,100.0,100.0,1,1,1,1,1
서울특별시,서초구,서초동,2025-12-01,래미안리더스원,84.93,377500.0,준신축,대단지,중형,대형,초품아,4,1,2.5,2.84,117.12,4089671.2,4.23,4.1,103.9934800326,104.278728606357,105.338223308883,99.073939,99.614744,1,1,1,1,1
서울특별시,서초구,서초동,2025-11-01,래미안리더스원,84.93,377500.0,준신축,대단지,중형,대형,초품아,4,1,2.5,2.69,116.89,4066699.3,4.17,2.2,104.197229013855,103.830480847596,105.338223308883,97.090185,98.864948,1,1,1,1,1
서울특별시,서초구,서초동,2025-10-01,래미안리더스원,84.93,377500.0,준신축,대단지,중형,대형,초품아,4,1,2.5,2.55,116.94,4056854.5,3.98,2.2,105.378973105134,104.40097799511,104.971475142624,95.915751,98.095808,1,1,1,1,1
서울특별시,서초구,서초동,2025-09-01,래미안리더스원,84.93,362500.0,준신축,대단지,중형,대형,초품아,4,1,2.5,2.56,116.71,4055458.9,3.96,2.1,104.197229013855,101.955990220049,102.567237163814,95.23535,97.812718,0,1,1,1,1
서울특별시,서초구,서초동,2025-08-01,래미안리더스원,84.93,362500.0,준신축,대단지,중형,대형,초품아,4,1,2.5,2.51,115.37,4031011.4,3.96,2.0,101.9967400163,100.896495517522,101.466992665037,94.495,97.959977,0,1,1,1,1
서울특별시,서초구,서초동,2025-07-01,래미안리더스원,84.93,362500.0,준신축,대단지,중형,대형,초품아,4,1,2.5,2.51,115.16,3993116.2,3.96,2.4,104.645476772616,100.122249388753,100.692746536267,93.772299,98.507871,0,1,1,1,1
서울특별시,서초구,서초동,2025-06-01,래미안리더스원,84.93,362500.0,준신축,대단지,중형,대형,초품아,4,1,2.5,2.57,116.56,3972892.3,3.93,2.8,111.572942135289,101.752241238794,101.792991035045,92.572747,98.358287,0,1,1,1,1
서울특별시,서초구,서초동,2025-05-01,래미안리더스원,84.93,347500.0,준신축,대단지,중형,대형,초품아,4,1,2.5,2.67,116.47,3955366.9,3.87,2.8,105.012224938875,100.285248573757,100.651996740016,89.726936,98.099854,0,1,1,1,1
서울특별시,서초구,서초동,2025-04-01,래미안리더스원,84.93,340000.0,준신축,대단지,중형,대형,초품아,4,1,2.75,2.74,116.24,3935845.0,3.98,2.9,100.855745721271,99.1442542787286,99.1035044824776,88.023771,97.76347,0,1,1,1,1
서울특별시,서초구,서초동,2025-03-01,래미안리더스원,84.93,337500.0,준신축,대단지,중형,대형,초품아,4,1,2.75,2.84,116.25,3924087.0,4.17,3.1,104.639602319801,100.6628003314,100.787075393538,86.302595,97.326636,0,1,1,1,1
서울특별시,서초구,서초동,2025-02-01,래미안리더스원,84.93,327500.0,준신축,대단지,중형,대형,초품아,4,1,2.75,2.95,116.47,3920448.5,4.23,3.2,102.982601491301,99.1714995857498,99.917149958575,84.640963,97.007873,0,1,1,1,1
