iter	Passed	Remaining
0	1521	4563400
1	2613	3918199
2	3848	3844479
3	5331	3993560
4	6493	3889889
5	7446	3716049
6	8401	3592321
7	9316	3484227
8	10240	3403136
9	11140	3331151
10	12059	3276865
11	12948	3224138
12	13880	3189331
13	14716	3138814
14	15559	3096371
15	16513	3079713
16	17341	3042911
17	18237	3021327
18	19136	3002486
19	20114	2997100
20	20993	2978012
21	21893	2963573
22	22721	2940889
23	23661	2934019
24	24552	2921722
25	25362	2901041
26	26195	2884366
27	27022	2868277
28	27889	2857186
29	28716	2842914
30	29610	2835946
31	30563	2834783
32	31454	2828081
33	32391	2825710
34	33227	2814821
35	34045	2803078
36	34990	2802058
37	35943	2801687
38	36850	2797828
39	37690	2789081
40	38654	2789749
41	39607	2789531
42	40525	2786811
43	41440	2784056
44	42419	2785541
45	43356	2784229
46	44325	2784971
47	45253	2783098
48	46235	2784507
49	47220	2785998
50	48175	2785654
51	49022	2779212
52	49959	2777948
53	50961	2780221
54	51905	2779323
55	52881	2780077
56	53765	2775984
57	54636	2771384
58	55483	2765719
59	56431	2765163
60	57362	2763721
61	58236	2759655
62	59108	2755558
63	60064	2755478
64	61052	2756748
65	62198	2764986
66	63189	2766187
67	64139	2765556
68	65022	2762063
69	65955	2760689
70	66954	2762095
71	67823	2758151
72	68801	2758644
73	69701	2756037
74	70577	2752504
75	71530	2752029
76	72384	2747785
77	73361	2748244
78	74334	2748489
79	75370	2751031
80	76364	2751952
81	77302	2750821
82	78267	2750673
83	79272	2751891
84	80192	2750122
85	81092	2747731
86	81983	2745022
87	82921	2743953
88	83922	2744919
89	84913	2745526
90	85868	2744957
91	86882	2746258
92	87870	2746657
93	88809	2745537
94	89844	2747343
95	90701	2743714
96	91644	2742732
97	92629	2742979
98	93631	2743689
99	94595	2743259
100	95463	2740088
101	96361	2737798
102	97212	2734206
103	98156	2733272
104	99110	2732631
105	100108	2733141
106	101085	2733089
107	102026	2732044
108	103039	2732909
109	103982	2731899
110	104964	2731902
111	105923	2731307
112	106953	2732521
113	107930	2732356
114	108795	2729340
115	109809	2730100
116	110795	2730115
117	111760	2729617
118	112667	2727683
119	113674	2728193
120	114565	2725893
121	115507	2724846
122	116462	2724088
123	117487	2724943
124	118410	2723436
125	119272	2720546
126	120196	2719100
127	121060	2716298
128	121972	2714586
129	122942	2714195
130	123829	2711962
131	124785	2711249
132	125600	2707503
133	126566	2707014
134	127605	2708071
135	128537	2706838
136	129563	2707588
137	130537	2707231
138	131449	2705581
