윈도우,단지,모델,RMSE,WAPE
BT@2024-06,강남구|개포동|래미안블레스티지|113.73,RandomWalk,5.820766091346741e-11,1.4925041259863437e-16
BT@2024-06,강남구|개포동|래미안블레스티지|113.73,SeasonalNaive,5.820766091346741e-11,1.4925041259863437e-16
BT@2024-06,강남구|개포동|래미안블레스티지|113.73,AR,7601.668553945618,0.01739896597293046
BT@2024-06,강남구|개포동|래미안블레스티지|113.73,BAR,6220.235315930708,0.014148556589893599
BT@2024-06,강남구|개포동|래미안블레스티지|113.73,BAR-X,2505.393212428048,0.005682790813878707
BT@2023-06,강남구|개포동|래미안블레스티지|113.73,RandomWalk,5.820766091346741e-11,1.4925041259863437e-16
BT@2023-06,강남구|개포동|래미안블레스티지|113.73,SeasonalNaive,4330.127018922143,0.009615384615384541
BT@2023-06,강남구|개포동|래미안블레스티지|113.73,AR,11850.245039372207,0.02703736285094166
BT@2023-06,강남구|개포동|래미안블레스티지|113.73,BAR,10008.769507960586,0.022698891339806664
BT@2023-06,강남구|개포동|래미안블레스티지|113.73,BAR-X,2387.682742967864,0.00540104437599728
BT@2022-06,강남구|개포동|래미안블레스티지|113.73,RandomWalk,2499.999999999971,0.0031746031746032483
BT@2022-06,강남구|개포동|래미안블레스티지|113.73,SeasonalNaive,19632.031648982822,0.03915343915343895
BT@2022-06,강남구|개포동|래미안블레스티지|113.73,AR,35317.74000386514,0.07750060897651953
BT@2022-06,강남구|개포동|래미안블레스티지|113.73,BAR,34367.14686899248,0.07537680217581044
BT@2022-06,강남구|개포동|래미안블레스티지|113.73,BAR-X,25918.62597287621,0.056754197856785996
BT@2024-06,강남구|개포동|래미안블레스티지|113.8,RandomWalk,5.820766091346741e-11,1.4925041259863437e-16
BT@2024-06,강남구|개포동|래미안블레스티지|113.8,SeasonalNaive,5.820766091346741e-11,1.4925041259863437e-16
BT@2024-06,강남구|개포동|래미안블레스티지|113.8,AR,7158.5152841592635,0.016410344697074315
BT@2024-06,강남구|개포동|래미안블레스티지|113.8,BAR,6022.19129329617,0.0137066925393762
BT@2024-06,강남구|개포동|래미안블레스티지|113.8,BAR-X,2426.8641289423454,0.0055094229477532205
BT@2023-06,강남구|개포동|래미안블레스티지|113.8,RandomWalk,5.820766091346741e-11,1.4925041259863437e-16
BT@2023-06,강남구|개포동|래미안블레스티지|113.8,SeasonalNaive,4330.127018922143,0.009615384615384541
BT@2023-06,강남구|개포동|래미안블레스티지|113.8,AR,11124.30939682401,0.02542658129474878
BT@2023-06,강남구|개포동|래미안블레스티지|113.8,BAR,9680.451924232158,0.02197069864244297
BT@2023-06,강남구|개포동|래미안블레스티지|113.8,BAR-X,2464.8693579606506,0.005580600288488458
