변수,CatBoost_중요도,CatBoost_방향,부호
base_drift,0.026044250118857293,-0.0029033206988927176,↓(잔차 하향보정)
h_step,0.008166403590655732,6.477466776360975e-05,↑(잔차 상향보정)
depth1__ecos__m2_avg,0.0057421821930718885,-9.767423857071277e-05,↓(잔차 하향보정)
origin_last,0.0048265569896301,-0.00071190636680753,↓(잔차 하향보정)
depth1__ecos__cd_91d_rate,0.00399094166305047,-0.00045194359838939154,↓(잔차 하향보정)
depth1__ecos__mortgage_rate_new,0.0034886496756896743,-0.00033051601069269005,↓(잔차 하향보정)
origin_mom12,0.0033422975200968616,0.00041161643074104804,↑(잔차 상향보정)
depth3__reb__apt_sale_index,0.002995775726657599,-0.0003111979540659706,↓(잔차 하향보정)
depth1__ecos__cpi_housing,0.002575323729475501,-2.046669677614344e-05,↓(잔차 하향보정)
depth3__reb__apt_jeonse_index,0.002465606386654732,0.0002757667475409118,↑(잔차 상향보정)
depth2__reb__apt_sale_supply_demand,0.002373452938355742,-0.00016450779034929522,↓(잔차 하향보정)
origin_mom6,0.0014675743774502353,-5.23126048450335e-05,↓(잔차 하향보정)
depth2__reb__apt_monthly_rent_supply_demand,0.0013417404113976212,-5.1109368081594726e-05,↓(잔차 하향보정)
Static__세대수구분,0.0012183000126196864,-8.663922931636443e-06,↓(잔차 하향보정)
depth1__ecos__base_rate,0.0011480997768703156,-0.000246640376343414,↓(잔차 하향보정)
Static__평수구분,0.001128042480031264,-1.2734050472626452e-05,↓(잔차 하향보정)
origin_mom3,0.0011277404557969565,-0.00017124313000551722,↓(잔차 하향보정)
depth3__policy__ltv_tightness,0.0011109138205085637,4.234296366287003e-05,↑(잔차 상향보정)
depth3__policy__is_speculative,0.0010709719240591148,7.670501041801643e-05,↑(잔차 상향보정)
Static__역세권수,0.0007933959889618413,-2.1427932938888635e-05,↓(잔차 하향보정)
depth1__ecos__unemployment_rate,0.0006329998043488408,-4.6693645573851526e-05,↓(잔차 하향보정)
Static__호재수,0.0006194848351209646,4.54673747276748e-06,↑(잔차 상향보정)
depth2__reb__apt_jeonse_supply_demand,0.0006107117511465037,-7.345511905143652e-05,↓(잔차 하향보정)
Static__건설사등급,0.00037967336376166724,-1.6851544005710893e-05,↓(잔차 하향보정)
depth3__policy__is_overheated,0.00029633217717615716,3.586166839745331e-06,↑(잔차 상향보정)
Static__초품아여부,0.0001917492232508435,8.362786813078065e-07,↑(잔차 상향보정)
Static__준공구분,0.00013798693301164677,-1.5076545452550246e-05,↓(잔차 하향보정)
depth3__policy__dsr_severity,4.282065788428766e-05,-1.1091490889573076e-07,↓(잔차 하향보정)
depth3__policy__is_regulated,4.021264069114701e-05,4.473422932739653e-06,↑(잔차 상향보정)
