변수,선택가중치
base_drift,0.3120344928981301
h_step,0.10790144739001935
depth1__ecos__cd_91d_rate,0.07086448997317504
depth3__policy__dsr_severity,0.03630463817847259
depth2__reb__apt_sale_supply_demand,0.03153760789635342
origin_mom3,0.03122425785043047
origin_mom12,0.03057194793742714
depth2__reb__apt_monthly_rent_supply_demand,0.029594784594055228
depth1__ecos__mortgage_rate_new,0.02830562060994765
Static__호재수,0.027686229807184364
depth3__reb__apt_sale_index,0.02659185466306201
depth1__ecos__base_rate,0.024735518143685294
origin_mom6,0.024206302418874098
depth2__reb__apt_jeonse_supply_demand,0.023134487946899134
origin_last,0.022557165860569946
depth3__reb__apt_jeonse_index,0.021271675492144877
depth1__ecos__cpi_housing,0.020595734705677018
depth3__policy__is_overheated,0.019687616821008447
depth1__ecos__unemployment_rate,0.019316241447436093
depth1__ecos__m2_avg,0.017585985459666532
depth3__policy__is_speculative,0.01624275389109504
Static__역세권수,0.015343343842022353
relative_time_idx,0.015240396020611991
depth3__policy__ltv_tightness,0.014108246941210956
depth3__policy__is_regulated,0.01335715921084082
