윈도우,구분,변수,선택가중치
BT@2023-06,decoder_variables,base_drift,0.5211681662411418
BT@2023-06,decoder_variables,origin_mom12,0.06551670668727737
BT@2023-06,decoder_variables,depth2__reb__apt_sale_supply_demand,0.04597264048254978
BT@2023-06,decoder_variables,h_step,0.03727268425965452
BT@2023-06,decoder_variables,origin_mom6,0.029800812165055493
BT@2023-06,decoder_variables,depth1__ecos__base_rate,0.02704217132845736
BT@2023-06,decoder_variables,depth1__ecos__cd_91d_rate,0.026624034561860643
BT@2023-06,decoder_variables,depth1__ecos__mortgage_rate_new,0.024213013443614373
BT@2023-06,decoder_variables,depth2__reb__apt_jeonse_supply_demand,0.022997259294372255
BT@2023-06,decoder_variables,depth3__reb__apt_jeonse_index,0.020969821195814968
BT@2023-06,decoder_variables,depth1__ecos__unemployment_rate,0.018240265614491033
BT@2023-06,decoder_variables,origin_last,0.01808512355472572
BT@2023-06,decoder_variables,depth3__reb__apt_sale_index,0.017163217002659232
BT@2023-06,decoder_variables,depth3__policy__ltv_tightness,0.01665887490911351
BT@2023-06,decoder_variables,depth1__ecos__cpi_housing,0.014939983307556066
BT@2023-06,decoder_variables,origin_mom3,0.014906911559137967
BT@2023-06,decoder_variables,Static__역세권수,0.014764748370223551
BT@2023-06,decoder_variables,depth3__policy__is_speculative,0.013466928554617992
BT@2023-06,decoder_variables,Static__호재수,0.013307170773299768
BT@2023-06,decoder_variables,depth1__ecos__m2_avg,0.009979978602728319
BT@2023-06,decoder_variables,depth3__policy__is_regulated,0.008788009908295723
BT@2023-06,decoder_variables,depth3__policy__dsr_severity,0.006114940513119429
BT@2023-06,decoder_variables,relative_time_idx,0.005476780786399795
BT@2023-06,decoder_variables,depth3__policy__is_overheated,0.004646251549726409
BT@2023-06,decoder_variables,depth2__reb__apt_monthly_rent_supply_demand,0.0018835053341069315
