윈도우,구분,변수,선택가중치
BT@2021-06,encoder_variables,Static__호재수,0.9838159542658661
BT@2021-06,encoder_variables,depth3__reb__apt_sale_index,0.0014670243192071977
BT@2021-06,encoder_variables,depth1__ecos__cd_91d_rate,0.001258593545703641
BT@2021-06,encoder_variables,resid_target,0.0009439134326383608
BT@2021-06,encoder_variables,Static__역세권수,0.0009404225344788146
BT@2021-06,encoder_variables,depth3__policy__is_speculative,0.0008026560300030282
BT@2021-06,encoder_variables,origin_mom6,0.0006871788053270039
BT@2021-06,encoder_variables,h_step,0.0006717977063647073
BT@2021-06,encoder_variables,origin_mom3,0.0006645660892246461
BT@2021-06,encoder_variables,depth2__reb__apt_sale_supply_demand,0.0006578344766623397
BT@2021-06,encoder_variables,depth1__ecos__mortgage_rate_new,0.0006368493462330585
BT@2021-06,encoder_variables,depth2__reb__apt_monthly_rent_supply_demand,0.0006197913023265208
BT@2021-06,encoder_variables,depth1__ecos__unemployment_rate,0.0005951832860787698
BT@2021-06,encoder_variables,origin_mom12,0.0005947729266479098
BT@2021-06,encoder_variables,origin_last,0.0005937459997526106
BT@2021-06,encoder_variables,depth3__policy__dsr_severity,0.0005755722911434223
BT@2021-06,encoder_variables,depth1__ecos__cpi_housing,0.0005631814203805852
BT@2021-06,encoder_variables,depth3__policy__is_overheated,0.0005455995996002538
BT@2021-06,encoder_variables,depth1__ecos__m2_avg,0.0005275927809777611
BT@2021-06,encoder_variables,depth2__reb__apt_jeonse_supply_demand,0.0005240409096008938
BT@2021-06,encoder_variables,depth3__reb__apt_jeonse_index,0.00043731933169373013
BT@2021-06,encoder_variables,depth1__ecos__base_rate,0.0004345497079819396
BT@2021-06,encoder_variables,base_drift,0.00040880951345184684
BT@2021-06,encoder_variables,relative_time_idx,0.00036910475845472284
BT@2021-06,encoder_variables,depth3__policy__ltv_tightness,0.0003385539403991068
BT@2021-06,encoder_variables,depth3__policy__is_regulated,0.0003253916798010631
