윈도우,구분,변수,선택가중치
BT@2022-06,static_variables,Header_단지명,0.48067738387597364
BT@2022-06,static_variables,Header_평형,0.2305028118909881
BT@2022-06,static_variables,Header_구,0.07582938591698539
BT@2022-06,static_variables,Static__평수구분,0.07261389977822684
BT@2022-06,static_variables,Header_동,0.05165750919502184
BT@2022-06,static_variables,Static__초품아여부,0.0238162092827331
BT@2022-06,static_variables,Static__세대수구분,0.022469363325567624
BT@2022-06,static_variables,Static__건설사등급,0.0174646156345033
BT@2022-06,static_variables,Static__준공구분,0.012332122208334295
BT@2022-06,static_variables,resid_target_center,0.0066459863995832515
BT@2022-06,static_variables,resid_target_scale,0.005990712492082594
