변수,선택가중치
h_step,0.19041010173945036
origin_mom6,0.05939207923654492
depth1__ecos__base_rate,0.058131235341325846
depth2__reb__apt_jeonse_supply_demand,0.05809764273980261
depth2__reb__apt_sale_supply_demand,0.057203091627875714
origin_last,0.04725570982937279
depth3__policy__is_overheated,0.04220931132702664
origin_mom3,0.04001240233139496
depth1__ecos__unemployment_rate,0.039189421238058506
depth1__ecos__m2_avg,0.037976799296103446
depth1__ecos__mortgage_rate_new,0.03563053019995729
origin_mom12,0.03450359477484853
depth2__reb__apt_monthly_rent_supply_demand,0.03427793341029804
depth3__policy__ltv_tightness,0.03377325630607865
depth3__reb__apt_sale_index,0.03243238470572798
depth1__ecos__cd_91d_rate,0.028575213456548378
depth1__ecos__cpi_housing,0.027020440152853924
depth3__policy__dsr_severity,0.024805891333732105
Static__역세권수,0.023311832322876428
Static__호재수,0.020959435056819145
depth3__policy__is_regulated,0.0202937816007517
depth3__reb__apt_jeonse_index,0.01942258590109409
relative_time_idx,0.018720530384287996
depth3__policy__is_speculative,0.016394795687169915
