윈도우,구분,변수,선택가중치
BT@2023-06,decoder_variables,h_step,0.21450769423746677
BT@2023-06,decoder_variables,origin_mom6,0.08072815178007445
BT@2023-06,decoder_variables,depth3__policy__is_overheated,0.0794981095698848
BT@2023-06,decoder_variables,depth1__ecos__cd_91d_rate,0.06437069664389654
BT@2023-06,decoder_variables,depth2__reb__apt_sale_supply_demand,0.05809369606622086
BT@2023-06,decoder_variables,origin_last,0.04844826188794851
BT@2023-06,decoder_variables,depth1__ecos__base_rate,0.0455268702421415
BT@2023-06,decoder_variables,origin_mom3,0.04365473354613359
BT@2023-06,decoder_variables,depth1__ecos__unemployment_rate,0.04026055125622502
BT@2023-06,decoder_variables,depth2__reb__apt_jeonse_supply_demand,0.03701813720547284
BT@2023-06,decoder_variables,origin_mom12,0.034978319414727364
BT@2023-06,decoder_variables,Static__호재수,0.032605389340076056
BT@2023-06,decoder_variables,depth3__reb__apt_sale_index,0.031472283493756505
BT@2023-06,decoder_variables,relative_time_idx,0.030608888958488085
BT@2023-06,decoder_variables,depth3__policy__dsr_severity,0.028028574303698817
BT@2023-06,decoder_variables,Static__역세권수,0.02574403426348281
BT@2023-06,decoder_variables,depth3__policy__ltv_tightness,0.023163100729424714
BT@2023-06,decoder_variables,depth3__policy__is_regulated,0.018835751993635606
BT@2023-06,decoder_variables,depth2__reb__apt_monthly_rent_supply_demand,0.015494716737124268
BT@2023-06,decoder_variables,depth3__reb__apt_jeonse_index,0.014321419960361497
BT@2023-06,decoder_variables,depth1__ecos__cpi_housing,0.010834810431957905
BT@2023-06,decoder_variables,depth3__policy__is_speculative,0.009452616029085557
BT@2023-06,decoder_variables,depth1__ecos__m2_avg,0.009111927131254784
BT@2023-06,decoder_variables,depth1__ecos__mortgage_rate_new,0.0032412647774611495
