윈도우,구분,변수,선택가중치
BT@2021-06,encoder_variables,pure_target,0.9906093748589555
BT@2021-06,encoder_variables,depth3__policy__is_overheated,0.0006081977858453857
BT@2021-06,encoder_variables,origin_mom6,0.0005721430168056859
BT@2021-06,encoder_variables,depth2__reb__apt_jeonse_supply_demand,0.000533464463831252
BT@2021-06,encoder_variables,depth1__ecos__mortgage_rate_new,0.0005092844100260493
BT@2021-06,encoder_variables,depth3__reb__apt_sale_index,0.00047734258078601435
BT@2021-06,encoder_variables,depth2__reb__apt_sale_supply_demand,0.0004413215042871584
BT@2021-06,encoder_variables,Static__역세권수,0.00042793600826250273
BT@2021-06,encoder_variables,depth3__policy__is_speculative,0.0004104102312739784
BT@2021-06,encoder_variables,origin_mom12,0.00039358876146555543
BT@2021-06,encoder_variables,depth3__policy__is_regulated,0.000388246104414388
BT@2021-06,encoder_variables,depth2__reb__apt_monthly_rent_supply_demand,0.0003791763385721249
BT@2021-06,encoder_variables,depth1__ecos__m2_avg,0.00036757424861874735
BT@2021-06,encoder_variables,depth1__ecos__base_rate,0.000365423037350698
BT@2021-06,encoder_variables,h_step,0.0003639445880921034
BT@2021-06,encoder_variables,depth3__reb__apt_jeonse_index,0.00035594729756252086
BT@2021-06,encoder_variables,origin_mom3,0.0003467748511312405
BT@2021-06,encoder_variables,relative_time_idx,0.0003467461489577568
BT@2021-06,encoder_variables,depth3__policy__dsr_severity,0.00033382778156266547
BT@2021-06,encoder_variables,depth1__ecos__unemployment_rate,0.00032245709343154734
BT@2021-06,encoder_variables,origin_last,0.00032119226214061947
BT@2021-06,encoder_variables,Static__호재수,0.00031904286555161016
BT@2021-06,encoder_variables,depth3__policy__ltv_tightness,0.0002975748798164407
BT@2021-06,encoder_variables,depth1__ecos__cpi_housing,0.00026192977457003636
BT@2021-06,encoder_variables,depth1__ecos__cd_91d_rate,0.00024707910668842923
