윈도우,단지,모델,RMSE,WAPE
BT@2025-06,강남구|개포동|개포주공5단지|53.98,RandomWalk,50841.87086775342,0.15516062884483867
BT@2025-06,강남구|개포동|개포주공5단지|53.98,SeasonalNaive,74185.01645660428,0.24169514695830444
BT@2025-06,강남구|개포동|개포주공5단지|53.98,AR,48067.84330845619,0.1469893089684924
BT@2025-06,강남구|개포동|개포주공5단지|61.19,RandomWalk,49085.38479017983,0.1472081218274117
BT@2025-06,강남구|개포동|개포주공5단지|61.19,SeasonalNaive,82446.3209205439,0.24809644670050737
BT@2025-06,강남구|개포동|개포주공5단지|61.19,AR,45399.0635702159,0.13667610220368803
BT@2025-06,강남구|개포동|개포주공5단지|74.25,RandomWalk,38466.706383572964,0.1054164239953412
BT@2025-06,강남구|개포동|개포주공5단지|74.25,SeasonalNaive,79539.69134966524,0.21607454863133393
BT@2025-06,강남구|개포동|개포주공5단지|74.25,AR,34794.825352489665,0.0958432320070208
BT@2025-06,강남구|개포동|개포주공5단지|83.17,RandomWalk,37472.21192652848,0.09210526315789458
BT@2025-06,강남구|개포동|개포주공5단지|83.17,SeasonalNaive,77257.68570181227,0.19736842105263172
BT@2025-06,강남구|개포동|개포주공5단지|83.17,AR,32483.388295622484,0.0799833940940347
BT@2025-06,강남구|개포동|개포주공6단지|53.06,RandomWalk,45311.42240097944,0.14876033057851168
BT@2025-06,강남구|개포동|개포주공6단지|53.06,SeasonalNaive,84148.0589992029,0.2695592286501377
BT@2025-06,강남구|개포동|개포주공6단지|53.06,AR,43699.756948226684,0.14349558710360058
BT@2025-06,강남구|개포동|개포주공6단지|60.13,RandomWalk,31523.80053229617,0.09578544061302664
BT@2025-06,강남구|개포동|개포주공6단지|60.13,SeasonalNaive,87964.00779106567,0.25977011494252866
BT@2025-06,강남구|개포동|개포주공6단지|60.13,AR,12005.752298878739,0.034451511184879526
BT@2025-06,강남구|개포동|개포주공6단지|73.02,RandomWalk,44698.061106346286,0.12573443008225618
BT@2025-06,강남구|개포동|개포주공6단지|73.02,SeasonalNaive,91296.44936505839,0.2517038777908343
BT@2025-06,강남구|개포동|개포주공6단지|73.02,AR,26829.963460717518,0.07534219725734788
BT@2025-06,강남구|개포동|개포주공6단지|83.21,RandomWalk,44440.97208657783,0.11804008908685938
BT@2025-06,강남구|개포동|개포주공6단지|83.21,SeasonalNaive,88858.73620528265,0.2309576837416482
BT@2025-06,강남구|개포동|개포주공6단지|83.21,AR,41703.0043201361,0.11100183280603604
BT@2025-06,강남구|개포동|개포주공7단지|53.46,RandomWalk,50889.228149645445,0.16442605997931747
BT@2025-06,강남구|개포동|개포주공7단지|53.46,SeasonalNaive,84513.74395130458,0.2756290934160635
BT@2025-06,강남구|개포동|개포주공7단지|53.46,AR,48093.88303648046,0.1551645286586541
BT@2025-06,강남구|개포동|개포주공7단지|60.76,RandomWalk,40184.470466421066,0.1218568665377176
BT@2025-06,강남구|개포동|개포주공7단지|60.76,SeasonalNaive,88215.67439142165,0.2651837524177949
BT@2025-06,강남구|개포동|개포주공7단지|60.76,AR,30537.439761921472,0.09298717187254592
BT@2025-06,강남구|개포동|개포주공7단지|73.26,RandomWalk,43350.07689343431,0.12098298676748583
BT@2025-06,강남구|개포동|개포주공7단지|73.26,SeasonalNaive,92218.37759723747,0.25531663516068054
BT@2025-06,강남구|개포동|개포주공7단지|73.26,AR,23598.085573159264,0.06596874321136549
BT@2025-06,강남구|개포동|개포주공7단지|83.7,RandomWalk,50435.60250458015,0.1309192200557106
BT@2025-06,강남구|개포동|개포주공7단지|83.7,SeasonalNaive,90236.09080259042,0.23877437325905307
BT@2025-06,강남구|개포동|개포주공7단지|83.7,AR,47128.87744068717,0.12282888690649715
BT@2025-06,강남구|개포동|개포현대(200동)|82.2,RandomWalk,35133.67330638799,0.138353765323993
BT@2025-06,강남구|개포동|개포현대(200동)|82.2,SeasonalNaive,50800.87761709103,0.20928196147110303
BT@2025-06,강남구|개포동|개포현대(200동)|82.2,AR,32738.10584575381,0.1291583294499948
BT@2025-06,강남구|개포동|개포현대2차(220동)|131.83,RandomWalk,23903.01584877239,0.06281833616298796
BT@2025-06,강남구|개포동|개포현대2차(220동)|131.83,SeasonalNaive,54074.40861134469,0.14238822863610645
BT@2025-06,강남구|개포동|개포현대2차(220동)|131.83,AR,17935.463164348002,0.047610624152993906
BT@2025-06,강남구|개포동|개포현대2차(220동)|134.98,RandomWalk,23903.01584877239,0.06281833616298796
BT@2025-06,강남구|개포동|개포현대2차(220동)|134.98,SeasonalNaive,54074.40861134469,0.14238822863610645
BT@2025-06,강남구|개포동|개포현대2차(220동)|134.98,AR,17895.35179363831,0.047506546410334104
BT@2025-06,강남구|개포동|개포현대2차(220동)|165.08,RandomWalk,13654.974673478337,0.030674846625767013
BT@2025-06,강남구|개포동|개포현대2차(220동)|165.08,SeasonalNaive,34865.21666838353,0.08343558282208574
BT@2025-06,강남구|개포동|개포현대2차(220동)|165.08,AR,7594.81756840425,0.016957052882580582
BT@2025-06,강남구|개포동|개포현대2차(220동)|83.16,RandomWalk,37811.20865563555,0.11962987442167915
BT@2025-06,강남구|개포동|개포현대2차(220동)|83.16,SeasonalNaive,55855.09526145912,0.17580964970257784
BT@2025-06,강남구|개포동|개포현대2차(220동)|83.16,AR,34303.3525807588,0.10872537221805183
BT@2025-06,강남구|개포동|개포현대2차(220동)|84.81,RandomWalk,37811.20865563555,0.11962987442167915
BT@2025-06,강남구|개포동|개포현대2차(220동)|84.81,SeasonalNaive,55855.09526145912,0.17580964970257784
BT@2025-06,강남구|개포동|개포현대2차(220동)|84.81,AR,34303.3525807588,0.10872537221805183
BT@2025-06,강남구|개포동|경남|123.28,RandomWalk,42341.19459324868,0.1018078547467181
BT@2025-06,강남구|개포동|경남|123.28,SeasonalNaive,73514.46506810754,0.18552651994931824
BT@2025-06,강남구|개포동|경남|123.28,AR,35792.86187635427,0.08647624765780139
BT@2025-06,강남구|개포동|경남|149.21,RandomWalk,46115.3917029517,0.1136612259324906
BT@2025-06,강남구|개포동|경남|149.21,SeasonalNaive,71784.30784010756,0.1832195254597832
BT@2025-06,강남구|개포동|경남|149.21,AR,49576.858886121714,0.12191926234982367
BT@2025-06,강남구|개포동|경남|149.57,RandomWalk,46115.3917029517,0.1136612259324906
BT@2025-06,강남구|개포동|경남|149.57,SeasonalNaive,71784.30784010756,0.1832195254597832
BT@2025-06,강남구|개포동|경남|149.57,AR,49576.858886121714,0.12191926234982367
BT@2025-06,강남구|개포동|경남|166.48,RandomWalk,66326.00322648745,0.15120151818260444
BT@2025-06,강남구|개포동|경남|166.48,SeasonalNaive,92930.69849355481,0.21609338972267617
BT@2025-06,강남구|개포동|경남|166.48,AR,64807.23631560682,0.1479060860078884
BT@2025-06,강남구|개포동|경남|182.11,RandomWalk,46120.50941826235,0.10378308291636036
BT@2025-06,강남구|개포동|경남|182.11,SeasonalNaive,63803.361111177655,0.14743020468275284
